Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7308270676691729,0.8209316194010072,0.39357429718875503,0.7777777777777778,0.5226666666666666,0.40293900291568135
Decision Tree,0.7353383458646616,0.7778753276202256,0.39316239316239315,0.7301587301587301,0.5111111111111111,0.38298189106932873
kNN,0.8368421052631579,0.828095090850193,0.6190476190476191,0.3611111111111111,0.45614035087719296,0.38640808706698954
Naive Bayes,0.7007518796992481,0.7345319080012958,0.3453389830508475,0.6468253968253969,0.45027624309392267,0.29499780335196857
Random Forest (Ensemble),0.8473684210526315,0.8540764790764791,0.6737588652482269,0.376984126984127,0.48346055979643765,0.42556097884769467
Support Vector Machine,0.7436090225563909,0.845333804517478,0.4086242299794661,0.7896825396825397,0.5385656292286874,0.42504532126840927
